movieId,imdb_id,tmdb_id,rating,average_rating,title
2409,79817,1367,4,3.23851,Rocky II (1979)
2410,84602,1371,3,3.0161,Rocky III (1982)
2411,89927,1374,3.5,2.95232,Rocky IV (1985)
2413,88930,15196,3,3.5492,Clue (1985)
2427,120863,8741,4.5,3.45206,The Thin Red Line (1998)
2502,151804,1542,4.5,3.98855,Office Space (1999)
2542,120735,100,4.5,4.03018,"Lock, Stock and Two Smoking Barrels (1998)"
2571,133093,603,4.5,4.16282,The Matrix (1999)
2617,120616,564,4,3.2404,The Mummy (1999)
2628,120915,1893,2.5,3.07724,Star Wars: Episode I - The Phantom Menace (1999)
2687,120855,37135,3.5,3.49209,Tarzan (1999)
2710,185937,2667,4,2.92285,The Blair Witch Project (1999)
2761,129167,10386,4.5,3.87923,The Iron Giant (1999)
2762,167404,745,4.5,4.0046,The Sixth Sense (1999)
2791,80339,813,4,3.79924,Airplane! (1980)
2810,156887,10494,4,4.00129,Perfect Blue (1998)
2858,169547,14,4.5,4.0954,American Beauty (1999)
2918,91042,9377,4,3.90603,Ferris Bueller's Day Off (1986)
2953,104431,772,3.5,2.77393,Home Alone 2: Lost in New York (1992)
2959,137523,550,5,4.2377,Fight Club (1999)
2997,120601,492,4,3.93273,Being John Malkovich (1999)
3000,119698,128,4.5,4.17038,Princess Mononoke (1997)
3006,140352,9008,3.5,3.89451,The Insider (1999)
3104,95631,9013,4,3.79042,Midnight Run (1988)
3114,120363,863,4,3.80909,Toy Story 2 (1999)
3147,120689,497,4.5,4.04403,The Green Mile (1999)
3160,175880,334,4,3.88011,Magnolia (1999)
3252,105323,9475,4.5,3.78269,Scent of a Woman (1992)
3362,72890,968,5,3.95505,Dog Day Afternoon (1975)
3462,27977,3082,4,4.07559,Modern Times (1936)
3499,100157,1700,4,3.7777,Misery (1990)
3504,74958,10774,4.5,4.00625,Network (1976)
3535,144084,1359,4,3.70412,American Psycho (2000)
3578,172495,98,5,3.97449,Gladiator (2000)
3676,74486,985,3.5,3.65779,Eraserhead (1977)
3735,70666,9040,4,3.90247,Serpico (1973)
3949,180093,641,4.5,3.98385,Requiem for a Dream (2000)
3996,190332,146,4,3.83389,"Crouching Tiger, Hidden Dragon (2000)"
4011,208092,107,5,4.06915,Snatch (2000)
4022,162222,8358,4,3.69474,Cast Away (2000)
4034,181865,1900,4,3.78328,Traffic (2000)
4144,118694,843,4,4.05434,In the Mood for Love (2000)
4226,209144,77,5,4.1372,Memento (2000)
4235,245712,55,4,3.98828,Amores Perros (2000)
4262,86250,111,4,3.94117,Scarface (1983)
4776,139654,2034,4,3.74709,Training Day (2001)
4848,166924,1018,4,3.85919,Mulholland Drive (2001)
4878,246578,141,3.5,3.93351,Donnie Darko (2001)
4886,198781,585,4,3.83802,"Monsters, Inc. (2001)"
4973,211915,194,4.5,4.08142,Amélie (2001)
4979,265666,9428,4,3.78441,The Royal Tenenbaums (2001)
4993,120737,120,4.5,4.10266,The Lord of the Rings: The Fellowship of the Ring (2001)
4995,268978,453,4,3.96319,A Beautiful Mind (2001)
5010,265086,855,4,3.69409,Black Hawk Down (2001)
5291,42876,548,4,4.09297,Rashomon (1950)
5378,121765,1894,3,3.03017,Star Wars: Episode II - Attack of the Clones (2002)
5388,278504,320,4,3.4937,Insomnia (2002)
5618,245429,129,3.5,4.22227,Spirited Away (2001)
5673,272338,8051,4,3.57912,Punch-Drunk Love (2002)
5690,95327,12477,3.5,4.10224,Grave of the Fireflies (1988)
5902,268126,2757,4,3.84781,Adaptation. (2002)
5952,167261,121,4.5,4.08551,The Lord of the Rings: The Two Towers (2002)
5956,217505,3131,4,3.56531,Gangs of New York (2002)
5989,264464,640,4,3.96882,Catch Me If You Can (2002)
5995,253474,423,4.5,4.05696,The Pianist (2002)
6001,85794,262,4,3.86177,The King of Comedy (1982)
6016,317248,598,4.5,4.17984,City of God (2002)
6365,234215,604,3.5,3.38246,The Matrix Reloaded (2003)
6377,266543,12,4,3.81569,Finding Nemo (2003)
6502,289043,170,4,3.77728,28 Days Later (2002)
6539,325980,22,4.5,3.78945,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
6669,44741,3782,4.5,4.10148,Ikiru (1952)
6711,335266,153,4,3.79496,Lost in Translation (2003)
6818,91251,25237,3.5,4.14453,Come and See (1985)
6870,327056,322,4.5,3.81459,Mystic River (2003)
6874,266697,24,4,3.8591,Kill Bill: Vol. 1 (2003)
6934,242653,605,3,3.24519,The Matrix Revolutions (2003)
6942,314331,508,4.5,3.68832,Love Actually (2003)
6953,315733,470,4,3.67497,21 Grams (2003)
6975,119167,10234,4,3.77354,Funny Games (1997)
7022,266308,3176,3,3.78688,Battle Royale (2000)
7143,325710,616,4,3.67139,The Last Samurai (2003)
7147,319061,587,4,3.79698,Big Fish (2003)
7153,167260,122,5,4.1163,The Lord of the Rings: The Return of the King (2003)
7327,60827,797,4,4.06589,Persona (1966)
7361,338013,38,5,4.06749,Eternal Sunshine of the Spotless Mind (2004)
7438,378194,393,4,3.82631,Kill Bill: Vol. 2 (2004)
7926,57565,12493,5,4.15825,High and Low (1963)
7982,365376,4552,4,3.62249,A Tale of Two Sisters (2003)
8014,374546,113,4,3.98805,"Spring, Summer, Fall, Winter... and Spring (2003)"
8529,362227,594,4,3.62237,The Terminal (2004)
8638,381681,80,4,4.0049,Before Sunset (2004)
8798,369339,1538,3.5,3.6997,Collateral (2004)
